,state,date,R,CI_lower,CI_upper
119,Uttar Pradesh,3/30/20,2.791759469,1.917095132,3.666423806
120,Uttar Pradesh,3/31/20,1.336263947,0.726460271,1.946067623
121,Uttar Pradesh,4/1/20,0.859126332,0.759081751,0.959170912
122,Uttar Pradesh,4/2/20,1.145432887,0.221042832,2.069822943
123,Uttar Pradesh,4/3/20,1.809814432,1.542688795,2.076940068
124,Uttar Pradesh,4/4/20,3.64674904,3.438467588,3.855030492
125,Uttar Pradesh,4/5/20,3.020944906,2.322385734,3.719504077
126,Uttar Pradesh,4/6/20,1.852455704,1.650652007,2.054259402
127,Uttar Pradesh,4/7/20,0.067941621,0,0.135883243
128,Uttar Pradesh,4/8/20,0.052034892,0,0.104069783
129,Uttar Pradesh,4/9/20,1.189880162,0.827396797,1.552363527
130,Uttar Pradesh,4/10/20,1.137649066,0.634998118,1.640300014
131,Uttar Pradesh,4/11/20,0.532701306,0.143331514,0.922071098
132,Uttar Pradesh,4/12/20,0.593000715,0.582371803,0.603629627
133,Uttar Pradesh,4/13/20,1.57491431,0.597632585,2.552196035
134,Uttar Pradesh,4/14/20,3.176003165,2.31188015,4.040126179
135,Uttar Pradesh,4/15/20,2.968541939,2.079167222,3.857916655
136,Uttar Pradesh,4/16/20,1.842678915,1.516297737,2.169060092
137,Uttar Pradesh,4/17/20,0.292548173,0,0.585096347
138,Uttar Pradesh,4/18/20,0.99117987,0.000983113,1.981376626
139,Uttar Pradesh,4/19/20,1.920053721,1.642240629,2.197866813
140,Uttar Pradesh,4/20/20,1.729292829,1.040118644,2.418467015
141,Uttar Pradesh,4/21/20,2.071222169,1.427895994,2.714548344
142,Uttar Pradesh,4/22/20,0.944253484,0,1.888506969
143,Uttar Pradesh,4/23/20,0.337786627,0,0.675573254
144,Uttar Pradesh,4/24/20,0.793448152,0.041130545,1.54576576
145,Uttar Pradesh,4/25/20,1.111501398,0.25028012,1.972722675
146,Uttar Pradesh,4/26/20,1.252788052,0.672217521,1.833358583
147,Uttar Pradesh,4/27/20,0.450414137,0.091411493,0.809416782
148,Uttar Pradesh,4/28/20,0,0,0
149,Uttar Pradesh,4/29/20,0,0,0
150,Uttar Pradesh,4/30/20,0,0,0
151,Uttar Pradesh,5/1/20,1.573701226,1.074577721,2.072824732
152,Uttar Pradesh,5/2/20,5.312549518,4.925228269,5.699870768
153,Uttar Pradesh,5/3/20,2.921659777,2.033868893,3.809450662
154,Uttar Pradesh,5/4/20,2.723572903,1.95239272,3.494753085
155,Uttar Pradesh,5/5/20,,,
156,Uttar Pradesh,5/6/20,,,
157,Uttar Pradesh,5/7/20,,,
158,Uttar Pradesh,5/8/20,,,
159,Uttar Pradesh,5/9/20,,,
160,Uttar Pradesh,5/10/20,,,
161,Uttar Pradesh,5/11/20,,,
162,Uttar Pradesh,5/12/20,,,
163,Uttar Pradesh,5/13/20,,,
164,Uttar Pradesh,5/14/20,4.428927274,4.225862263,4.631992285
165,Uttar Pradesh,5/15/20,3.481354019,2.684882253,4.277825786
166,Uttar Pradesh,5/16/20,,,
167,Uttar Pradesh,5/17/20,,,
168,Uttar Pradesh,5/18/20,,,
169,Uttar Pradesh,5/19/20,,,
170,Uttar Pradesh,5/20/20,,,
171,Uttar Pradesh,5/21/20,,,
172,Uttar Pradesh,5/22/20,0,0,0
173,Uttar Pradesh,5/23/20,0,0,0
174,Uttar Pradesh,5/24/20,1.089748705,0.854461712,1.325035699
175,Uttar Pradesh,5/25/20,0.38593527,0.071505613,0.700364928
176,Uttar Pradesh,5/26/20,0.136192491,0,0.272384983
177,Uttar Pradesh,5/27/20,0.031231553,0,0.062463106
178,Uttar Pradesh,5/28/20,,,
179,Uttar Pradesh,5/29/20,,,
180,Uttar Pradesh,5/30/20,,,
181,Uttar Pradesh,5/31/20,,,
182,Uttar Pradesh,6/1/20,2.780246575,1.941468187,3.619024962
183,Uttar Pradesh,6/2/20,3.227124807,2.941275013,3.512974601
184,Uttar Pradesh,6/3/20,2.985019546,2.9557035,3.014335592
185,Uttar Pradesh,6/4/20,0.73036768,0.100181904,1.360553456
186,Uttar Pradesh,6/5/20,2.011682445,1.470732286,2.552632604
187,Uttar Pradesh,6/6/20,1.01917789,0.973430689,1.064925091
188,Uttar Pradesh,6/7/20,1.664461507,1.18124375,2.147679264
189,Uttar Pradesh,6/8/20,1.049442782,0.373262672,1.725622893
190,Uttar Pradesh,6/9/20,0,0,0
191,Uttar Pradesh,6/10/20,,,
192,Uttar Pradesh,6/11/20,,,
193,Uttar Pradesh,6/12/20,,,
194,Uttar Pradesh,6/13/20,,,
195,Uttar Pradesh,6/14/20,0.372020583,0,0.744041166
196,Uttar Pradesh,6/15/20,0.420625219,0,0.841250437
197,Uttar Pradesh,6/16/20,0.669054712,0.402823495,0.93528593
198,Uttar Pradesh,6/17/20,1.412150112,0.992312563,1.831987662
199,Uttar Pradesh,6/18/20,1.997170921,1.062722378,2.931619463
200,Himachal Pradesh,3/14/20,,,
201,Himachal Pradesh,3/20/20,,,
202,Himachal Pradesh,3/23/20,,,
203,Himachal Pradesh,3/27/20,,,
204,Himachal Pradesh,4/2/20,,,
205,Himachal Pradesh,4/5/20,,,
206,Himachal Pradesh,4/6/20,,,
207,Himachal Pradesh,4/7/20,1.887466661,1.488835708,2.286097614
208,Himachal Pradesh,4/9/20,0.454412021,0.309611154,0.599212889
209,Himachal Pradesh,4/11/20,0.088458426,0,0.176916851
210,Himachal Pradesh,4/14/20,0.057200384,0.011384747,0.103016021
211,Himachal Pradesh,4/15/20,0.233075579,0,0.466151158
212,Himachal Pradesh,4/17/20,1.290752945,1.080774373,1.500731516
213,Himachal Pradesh,4/18/20,0.442007856,0.35330471,0.530711001
214,Himachal Pradesh,4/23/20,0.786280676,0.6354726,0.937088752
215,Himachal Pradesh,4/27/20,,,
216,Himachal Pradesh,4/30/20,,,
217,Himachal Pradesh,5/1/20,,,
218,Himachal Pradesh,5/2/20,,,
219,Himachal Pradesh,5/3/20,,,
220,Himachal Pradesh,5/4/20,,,
221,Himachal Pradesh,5/5/20,,,
222,Himachal Pradesh,5/6/20,,,
223,Himachal Pradesh,5/7/20,,,
224,Himachal Pradesh,5/8/20,,,
225,Himachal Pradesh,5/9/20,,,
226,Himachal Pradesh,5/10/20,2.242453325,1.340357807,3.144548843
227,Himachal Pradesh,5/11/20,0.104120265,0,0.208240531
228,Himachal Pradesh,5/12/20,1.693147181,0.899826979,2.486467382
229,Himachal Pradesh,5/13/20,1.143841036,0.587287586,1.700394487
230,Himachal Pradesh,5/14/20,1,0.115828355,1.884171645
231,Himachal Pradesh,5/15/20,1.549306144,1.06729739,2.031314899
232,Himachal Pradesh,5/16/20,,,
233,Himachal Pradesh,5/17/20,,,
234,Himachal Pradesh,5/18/20,,,
235,Himachal Pradesh,5/19/20,,,
236,Himachal Pradesh,5/20/20,,,
237,Himachal Pradesh,5/21/20,,,
238,Himachal Pradesh,5/22/20,,,
239,Himachal Pradesh,5/23/20,0.580835405,0,1.16167081
240,Himachal Pradesh,5/24/20,1.624705577,1.523544186,1.725866968
241,Himachal Pradesh,5/25/20,1.227087053,1.050742006,1.4034321
242,Himachal Pradesh,5/26/20,1.717542263,1.07772197,2.357362555
243,Himachal Pradesh,5/27/20,1.033404335,0.25070166,1.816107009
244,Himachal Pradesh,5/28/20,0,0,0
245,Himachal Pradesh,5/29/20,0,0,0
246,Himachal Pradesh,5/30/20,,,
247,Himachal Pradesh,5/31/20,,,
248,Himachal Pradesh,6/1/20,,,
249,Himachal Pradesh,6/2/20,,,
250,Himachal Pradesh,6/3/20,,,
251,Himachal Pradesh,6/4/20,,,
252,Himachal Pradesh,6/5/20,,,
253,Himachal Pradesh,6/6/20,,,
254,Himachal Pradesh,6/7/20,,,
255,Himachal Pradesh,6/8/20,,,
256,Himachal Pradesh,6/9/20,,,
257,Himachal Pradesh,6/10/20,,,
258,Himachal Pradesh,6/11/20,,,
259,Himachal Pradesh,6/12/20,,,
260,Himachal Pradesh,6/13/20,,,
261,Himachal Pradesh,6/14/20,,,
262,Himachal Pradesh,6/15/20,,,
263,Himachal Pradesh,6/16/20,,,
